YEAR	CODE	CHANGE	TENTURE	ROE	MEDIA	S0	AGE	INDUSTRY	ASSET	ROA	RETURN	DEBTRATIO	S1	S12	BOARDSIZE	CEOSTOCK	CONTROL
2000	23	0	5	6.7574	0	8.400826373	54	E	828554545.2	4.6113	0.121790267	64.9752	66.71	66.13	11	0.000197368	1
2001	23	0	6	-80.0109	0	8.400758921	55	E	860150007.8	-22.6101	-0.291438758	76.7058	66.71	66.44	10	0.000197368	1
2002	23	1	7	4.0014	0	7.746778715	56	E	727234142.2	3.6168	-0.331641073	67.7747	40	13.29	12	0.000197368	1
2003	23	1	1	2.7671	0	7.746531937	44	E	723461072.4	3.7358	-0.185116295	66.5904	40	13.29	13	0.000050448	1
2000	24	0	1	11.986	0	7.113082661	59	J	4888827687	9.3141	0.161539169	48.7376	32.94	21.96	13	0	1
2001	24	1	2	7.9549	0	7.112623245	60	J	4692619143	6.6388	-0.143469412	49.3953	32.94	21.96	12	0	1
2002	24	0	0	10.3018	0	7.112623245	44	J	5268964574	6.8049	-0.109392266	50.1864	32.94	21.96	15	0	1
2003	24	0	1	11.8807	0	6.954227616	45	J	5923647954	8.1213	0.056322645	43.8837	30.43	20.29	9	0	1
2004	24	0	2	10.9526	1	6.962574754	46	J	8454998786	6.7629	-0.04459378	57.9775	30.43	20.29	9	0	1
2005	24	0	3	11.6668	1.5	6.961449968	46	J	8936565336	6.159	0.736454656	56.4853	30.43	20.29	11	0	1
1999	24	1	2	12.4953	0	7.479486351	56	J	3886228397	8.9581	0.337581027	55.0017	39.58	26.36	13	0	1
1999	25	1	1.5	-38.0209	0	8.565871464	43	M	876150224.4	-7.5603	0.764587318	73.9222	72.45	72.08	6	0	1
2000	25	0	1	-75.0296	0	8.565858986	49	M	766478943.8	-9.762	0.036515701	87.1354	72.45	72.11	9	0	1
2001	25	0	2	2.8648	0	8.565982384	50	M	1368433165	2.5123	-0.139950924	78.799	72.45	71.75	7	0	1
2002	25	1	3	-17.4442	0	8.565870244	52	M	1232230347	-0.5346	-0.470339438	81.2318	72.45	71.95	9	0	1
1999	26	0	4	5.5816	0	7.917877899	57	C	821940796.8	4.1416	0.428037193	28.16	52.24	48.42	6	0.000499025	1
2000	26	0	5	2.4981	0	7.917252343	58	C	781982535.2	2.0996	0.568133906	23.0114	52.24	48.42	6	0.000499025	1
2001	26	1	6	1.9174	0	7.91198553	59	C	725845783	1.0204	0.070536937	18.04	52.24	51.5	6	0.000499025	1
2002	26	0	0	-14.1025	0	7.911901198	40	C	566681393	-11.6189	-0.352015786	8.7518	52.24	51.66	8	0	1
2003	26	0	1	0.992	0	7.911746913	41	C	572847496	0.8611	-0.213077999	8.7489	52.24	52.03	9	0	1
2004	26	0	2	0.3695	0	7.911764171	42	C	627537297	0.6034	-0.580908196	16.3873	52.24	51.93	10	0	1
2005	26	0	3	3.0468	0	7.911832504	43	C	621275547.2	3.0461	0.141603707	12.9414	52.24	51.91	9	0	1
2002	27	1	1	18.4638	0	8.025099949	50	D	7994429248	14.0605	0.069366149	32.3409	55.28	54.6	9	0	1
2005	28	0	0	9.5131	0	7.595503009	47	C	1072448049	4.1578	0.462734629	63.2876	43.33	34.28	9	0	1
2001	28	0	1	10.7879	0	7.595503009	48	C	1118169234	7.339	-0.431452525	67.4062	43.33	34.28	7	0	1
2002	28	0	2	1.4324	0	7.595503009	49	C	1052596979	1.2809	-0.346898059	68.2027	43.33	34.28	8	0	1
2003	28	1	3	4.5239	1	7.595503009	50	C	984428227.3	1.943	-0.265574112	65.5118	43.33	34.28	8	0	1
2000	28	1	0.5	-0.5371	0	7.626280252	51	C	490886574.5	-0.0878	0.581480317	17.484	43.33	33.81	9	0	1
1999	28	1	6	6.0339	0	7.626388075	48	C	538950594.1	5.159	1.974917942	16.0903	43.33	33.81	9	0.00038961	1
2004	28	1	0.3	7.8268	0	7.595503009	47	C	846186796.7	3.0846	-0.375071169	57.6692	43.33	34.28	9	0	1
2003	29	0	0	0.4001	0	8.595119211	53	J	2758888986	1.7696	-0.210561607	58.8011	73.52	73.43	10	4.94E-06	1
2004	29	0	1	-13.2593	0	8.595124817	54	J	2518992749	-4.4303	-0.409493895	60.8023	73.52	73.34	11	4.94E-06	1
2005	29	0	2	1.1753	0	8.595118693	55	J	2280306748	1.6733	0.310100967	54.4432	73.52	73.43	10	4.94E-06	1
1999	29	0	0.5	6.9566	0	8.595147054	43	J	4262149889	3.9905	2.169738349	64.7639	73.52	73.18	8	0	1
2000	29	0	1.5	4.9042	0	8.595127592	44	J	4113913510	3.0726	-0.303197444	62.3411	73.52	73.36	9	0	1
2001	29	0	2.5	-41.0035	0	8.595123022	45	J	3473212635	-11.5163	-0.066702468	70.8201	73.52	73.35	9	0	1
2002	29	1	3.5	1.3687	0	8.595124391	46	J	3000986508	3.4663	-0.041352908	65.7809	73.52	73.33	10	0	1
2003	33	0	0	0.4471	0	7.165144264	43	K	615540780.2	1.0801	-0.135879528	28.758	22.99	3.83	9	0	0
2004	33	0	1	0.1387	0	7.164787353	44	K	615076962.5	1.1263	-0.447380671	28.6053	22.99	3.83	9	0	0
2005	33	0	2	0.6728	1	7.164252907	47	K	600507606.8	1.4903	0.273145237	26.3795	22.99	3.83	9	0	0
2002	33	1	1	1.5082	0	7.165322904	50	K	616939118.7	2.0369	-0.296707608	29.2365	22.99	3.83	9	0	1
1999	33	0	3	-0.5994	0	7.240420062	41	K	711039195.1	1.5219	1.147210215	35.6989	23.72	3.47	7	0	1
2000	33	0	4	-2.8139	0	7.174120299	42	K	661695659	0.3699	-0.232582693	36.2463	22.99	3.83	6	0	1
